學年度,學校代碼,學校名稱,縣市名稱,體系別,在校生總數,區域,設立別,休學人數,在學人數_S,休學率,退學人數,退學率,專任教師數,生師比,公私立
108,1286,耕莘健康管理專科學校,新北市,2 技職,4911,北部,私立,,,,,,169.0,29.1,私立
108,1287,敏惠醫護管理專科學校,臺南市,2 技職,3904,南部,私立,,,,,,120.0,32.5,私立
108,1289,育英醫護管理專科學校,高雄市,2 技職,1996,南部,私立,,,,,,69.0,28.9,私立
108,1291,聖母醫護管理專科學校,宜蘭縣,2 技職,2561,東部,私立,,,,,,93.0,27.5,私立
108,1292,新生醫護管理專科學校,桃園市,2 技職,6031,北部,私立,,,,,,218.0,27.7,私立
108,1293,崇仁醫護管理專科學校,嘉義縣,2 技職,3330,南部,私立,,,,,,126.0,26.4,私立
108,3002,臺北市立大學,臺北市,1 一般,7809,北部,公立,,,,,,334.0,23.4,公立
109,1,國立政治大學,臺北市,1 一般,16351,北部,公立,,,,,,731.0,22.4,公立
109,2,國立清華大學,新竹市,1 一般,16917,北部,公立,,,,,,839.0,20.2,公立
109,3,國立臺灣大學,臺北市,1 一般,32527,北部,公立,,,,,,2053.0,15.8,公立
109,4,國立臺灣師範大學,臺北市,3 師範,15920,北部,公立,,,,,,823.0,19.3,公立
109,5,國立成功大學,臺南市,1 一般,21773,南部,公立,,,,,,1336.0,16.3,公立
109,6,國立中興大學,臺中市,1 一般,14974,中部,公立,,,,,,775.0,19.3,公立
109,7,國立交通大學,新竹市,1 一般,15182,北部,,,,,,,,,未知
109,8,國立中央大學,桃園市,1 一般,11938,北部,公立,,,,,,669.0,17.8,公立
109,9,國立中山大學,高雄市,1 一般,9706,南部,公立,,,,,,558.0,17.4,公立
109,12,國立臺灣海洋大學,基隆市,1 一般,8905,北部,公立,,,,,,440.0,20.2,公立
109,13,國立中正大學,嘉義縣,1 一般,11128,南部,公立,,,,,,533.0,20.9,公立
109,14,國立高雄師範大學,高雄市,3 師範,6845,南部,公立,,,,,,286.0,23.9,公立
109,15,國立彰化師範大學,彰化縣,3 師範,8453,中部,公立,,,,,,368.0,23.0,公立
109,16,國立陽明大學,臺北市,1 一般,4534,北部,公立,,,,,,405.0,11.2,公立
109,17,國立臺北大學,新北市,1 一般,10080,北部,公立,,,,,,384.0,26.2,公立
109,18,國立嘉義大學,嘉義市,1 一般,11689,南部,公立,,,,,,513.0,22.8,公立
109,19,國立高雄大學,高雄市,2 技職,160,南部,公立,,,,,,238.0,0.7,公立
109,20,國立東華大學,花蓮縣,1 一般,10008,東部,公立,,,,,,457.0,21.9,公立
109,21,國立暨南國際大學,南投縣,1 一般,6016,中部,公立,,,,,,273.0,22.0,公立
109,22,國立臺灣科技大學,臺北市,2 技職,11171,北部,公立,,,,,,560.0,19.9,公立
109,23,國立雲林科技大學,雲林縣,2 技職,9808,中部,公立,,,,,,425.0,23.1,公立
109,24,國立屏東科技大學,屏東縣,2 技職,10818,南部,公立,,,,,,433.0,25.0,公立
109,25,國立臺北科技大學,臺北市,2 技職,13837,北部,公立,,,,,,459.0,30.1,公立
109,28,國立臺北藝術大學,臺北市,1 一般,3144,北部,公立,,,,,,165.0,19.1,公立
109,29,國立臺灣藝術大學,新北市,2 技職,383,北部,公立,,,,,,155.0,2.5,公立
109,30,國立臺東大學,臺東縣,2 技職,76,東部,公立,,,,,,202.0,0.4,公立
109,31,國立宜蘭大學,宜蘭縣,1 一般,5476,東部,公立,,,,,,235.0,23.3,公立
109,32,國立聯合大學,苗栗縣,1 一般,7559,中部,公立,,,,,,284.0,26.6,公立
109,33,國立虎尾科技大學,雲林縣,2 技職,11038,中部,公立,,,,,,347.0,31.8,公立
109,35,國立臺南藝術大學,臺南市,1 一般,1599,南部,公立,,,,,,109.0,14.7,公立
109,36,國立臺南大學,臺南市,1 一般,5773,南部,公立,,,,,,230.0,25.1,公立
109,37,國立臺北教育大學,臺北市,3 師範,5885,北部,公立,,,,,,238.0,24.7,公立
109,39,國立臺中教育大學,臺中市,3 師範,4902,中部,公立,,,,,,203.0,24.1,公立
109,42,國立澎湖科技大學,澎湖縣,2 技職,3047,離島,公立,,,,,,127.0,24.0,公立
109,43,國立勤益科技大學,臺中市,2 技職,12134,中部,公立,,,,,,315.0,38.5,公立
109,44,國立體育大學,桃園市,1 一般,2586,北部,公立,,,,,,102.0,25.4,公立
109,46,國立臺北護理健康大學,臺北市,2 技職,5338,北部,公立,,,,,,207.0,25.8,公立
109,47,國立高雄餐旅大學,高雄市,2 技職,4929,南部,公立,,,,,,164.0,30.1,公立
109,48,國立金門大學,金門縣,1 一般,4131,離島,公立,,,,,,147.0,28.1,公立
109,49,國立臺灣體育運動大學,臺中市,1 一般,3122,中部,公立,,,,,,124.0,25.2,公立
109,50,國立臺中科技大學,臺中市,2 技職,16091,中部,公立,,,,,,423.0,38.0,公立
109,51,國立臺北商業大學,臺北市,2 技職,7632,北部,公立,,,,,,221.0,34.5,公立
109,52,國立屏東大學,屏東縣,1 一般,9027,南部,公立,,,,,,350.0,25.8,公立
109,53,國立高雄科技大學,高雄市,2 技職,27438,南部,公立,,,,,,864.0,31.8,公立
109,144,國立臺灣戲曲學院,臺北市,2 技職,546,北部,公立,,,,,,32.0,17.1,公立
